date,ocor
2015-07-06,26
2015-07-12,39
2015-07-15,20
2015-08-02,34
2015-09-27,28
2015-08-29,28
2015-09-15,28
2015-08-10,46
2015-08-12,27
2015-08-23,29
2015-10-15,31
2015-10-02,32
2015-10-05,25
2015-10-08,25
2015-10-09,31
2015-09-29,26
2015-10-03,34
2015-10-04,27
2015-10-16,39
2015-09-16,31
2015-09-12,37
2015-10-29,28
2015-11-02,34
2015-10-27,26
2015-10-28,32
2015-11-01,33
2015-11-25,22
2015-11-17,28
2015-11-21,29
2015-11-09,30
2015-11-12,29
2015-12-08,32
2015-12-29,34
2015-12-30,26
2015-05-30,20
2015-03-20,23
2015-03-07,31
2015-07-04,32
2015-06-08,34
2015-06-13,32
2015-01-01,61
2015-08-06,36
2015-05-06,35
2015-06-14,47
2015-10-10,40
2015-09-09,31
2015-03-09,39
2015-06-06,24
2015-09-03,31
2015-09-06,30
2015-03-05,30
2015-07-18,20
2015-07-13,31
2015-11-20,26
2015-11-22,33
2015-11-23,31
2015-12-04,25
2015-12-11,38
2015-12-12,29
2015-12-15,37
2015-12-20,23
2015-12-21,34
2015-12-22,25
2015-12-25,31
2015-02-08,36
2015-02-18,32
2015-02-23,29
2015-03-08,31
2015-03-12,26
2015-03-14,39
2015-03-15,34
2015-03-16,37
2015-01-06,34
2015-01-07,37
2015-01-19,26
2015-01-23,20
2015-01-25,36
2015-01-28,27
2015-01-11,39
2015-01-08,39
2015-03-21,22
2015-03-31,30
2015-05-08,26
2015-03-01,24
2015-05-07,37
2015-04-27,28
2015-03-22,37
2015-04-11,34
2015-04-19,40
2015-05-02,28
2015-05-09,35
2015-05-05,30
2015-12-31,37
2015-05-21,30
2015-05-19,22
2015-09-21,32
2015-01-30,27
2015-03-11,28
2015-05-04,28
2015-05-18,31
2015-04-24,33
2015-05-01,29
2015-07-09,22
2015-11-06,37
2015-09-14,32
2015-05-29,23
2015-05-31,12
2015-06-10,28
2015-06-30,34
2015-07-02,30
2015-07-03,25
2015-07-05,42
2015-07-22,22
2015-09-23,22
2015-06-19,26
2015-07-20,33
2015-07-08,17
2015-07-11,33
2015-07-21,26
2015-07-24,24
2015-07-29,25
2015-07-31,24
2015-08-09,30
2015-07-30,32
2015-07-10,31
2015-09-13,36
2015-08-20,25
2015-08-24,32
2015-08-28,17
2015-09-01,26
2015-09-04,30
2015-09-05,28
2015-09-10,27
2015-09-18,30
2015-09-22,26
2015-02-04,34
2015-11-03,23
2015-12-19,46
2015-10-01,18
2015-10-25,47
2015-11-16,36
2015-10-12,33
2015-10-17,42
2015-10-22,25
2015-10-24,34
2015-10-26,32
2015-10-19,33
2015-10-20,36
2015-10-21,37
2015-11-04,29
2015-11-11,27
2015-11-28,36
2015-12-16,33
2015-11-26,35
2015-12-14,29
2015-12-27,34
2015-11-30,38
2015-01-03,37
2015-04-23,29
2015-04-26,24
2015-09-11,29
2015-04-13,26
2015-02-02,37
2015-07-23,17
2015-08-03,35
2015-06-27,27
2015-09-19,35
2015-09-20,42
2015-09-24,29
2015-08-14,17
2015-08-22,36
2015-10-30,33
2015-01-20,33
2015-08-27,30
2015-08-18,29
2015-01-09,33
2015-01-12,40
2015-03-06,37
2015-12-26,34
2015-07-26,29
2015-09-02,31
2015-09-25,30
2015-12-07,43
2015-09-08,31
2015-07-28,27
2015-09-28,31
2015-07-27,28
2015-01-29,35
2015-02-12,34
2015-03-23,31
2015-01-24,28
2015-02-03,28
2015-04-16,23
2015-02-27,32
2015-02-05,30
2015-02-17,26
2015-04-09,24
2015-03-03,17
2015-03-17,28
2015-01-27,37
2015-03-10,31
2015-02-14,40
2015-05-11,42
2015-05-24,35
2015-02-21,42
2015-02-24,35
2015-02-11,20
2015-02-22,29
2015-01-17,37
2015-04-07,37
2015-05-28,24
2015-06-01,42
2015-06-09,27
2015-06-02,21
2015-05-15,21
2015-04-22,37
2015-08-01,37
2015-06-16,29
2015-04-14,22
2015-04-25,28
2015-04-30,28
2015-05-26,27
2015-05-27,18
2015-06-24,33
2015-05-14,25
2015-06-11,27
2015-08-08,26
2015-09-07,28
2015-06-12,27
2015-08-25,28
2015-08-31,19
2015-10-06,24
2015-10-31,26
2015-11-10,30
2015-10-07,36
2015-11-07,29
2015-12-02,28
2015-11-18,27
2015-11-05,18
2015-11-27,32
2015-11-19,31
2015-11-13,31
2015-12-05,37
2015-10-11,34
2015-11-15,30
2015-12-06,40
2015-12-09,35
2015-12-03,28
2015-11-24,21
2015-12-10,37
2015-12-24,36
2015-01-13,39
2015-05-20,41
2015-06-20,27
2015-09-17,33
2015-07-25,22
2015-07-07,32
2015-10-18,44
2015-12-18,42
2015-12-23,21
2015-01-22,29
2015-02-10,16
2015-03-04,28
2015-04-29,30
2015-02-26,35
2015-08-04,20
2015-12-17,40
2015-10-23,20
2015-11-08,35
2015-02-06,26
2015-08-26,22
2015-09-26,26
2015-08-07,26
